asv	EE0493	EE0495
asv.1	0	0
asv.2	14	2447
asv.3	0	0
asv.4	0	0
asv.5	40587	1857
asv.6	7	10
asv.7	29367	150
asv.8	72378	0
asv.9	35970	25
asv.10	10	21
asv.11	4375	3255
asv.12	6853	33063
asv.13	0	0
asv.14	2299	1403
asv.15	0	0
asv.16	18	3997
asv.17	8017	7472
asv.18	0	0
asv.19	1736	1914
asv.20	428	1865
asv.21	1711	2921
asv.22	0	2
asv.23	0	0
asv.24	0	0
asv.25	2539	2995
asv.26	0	868
asv.27	0	1
asv.28	8	21
asv.29	2378	2232
asv.30	5	0
asv.31	2645	162
asv.32	0	0
asv.33	2074	6785
asv.34	0	0
asv.35	0	0
asv.36	0	0
asv.37	2200	2941
asv.38	1204	829
asv.39	18	36
asv.40	0	3
asv.41	0	1
asv.42	7	31509
asv.43	634	643
asv.44	0	0
asv.45	71	197
asv.46	0	0
asv.47	422	816
asv.48	0	0
asv.49	1	0
asv.50	5	4
asv.51	332	517
asv.52	762	616
asv.53	1232	492
asv.54	0	0
asv.55	683	1409
asv.56	1434	520
asv.57	21997	18
asv.58	2987	0
asv.59	523	803
asv.60	0	0
asv.61	2125	488
asv.62	20721	0
asv.63	4183	660
asv.64	0	0
asv.65	2357	614
asv.66	673	308
asv.67	2	0
asv.68	0	0
asv.69	0	0
asv.70	461	546
asv.71	7	8
asv.72	2866	3672
asv.73	0	17995
asv.74	0	0
asv.75	3022	18
asv.76	1580	509
asv.77	1071	120
asv.78	606	669
asv.79	1378	691
asv.80	224	124
asv.81	1154	115
asv.82	5490	0
asv.83	0	0
asv.84	0	0
asv.85	0	0
asv.86	0	0
asv.87	0	0
asv.88	397	790
asv.89	240	253
asv.90	15317	0
asv.91	97	323
asv.92	905	695
asv.93	0	2
asv.94	710	715
asv.95	0	0
asv.96	0	0
asv.97	343	108
asv.98	2317	0
asv.99	1917	0
asv.100	413	297
asv.101	13161	0
asv.102	666	123
asv.103	2038	2
asv.104	82	26
asv.105	7	12390
asv.106	126	715
asv.107	1990	0
asv.108	0	0
asv.109	2	20
asv.110	0	17
asv.111	615	108
asv.112	0	0
asv.113	0	0
asv.114	376	408
asv.115	3295	0
asv.116	131	128
asv.117	508	249
asv.118	411	310
